Filename	Total Reads
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v3.0.1.T4ref.bwa_full_length.bam	157987
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	157987
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v5.0.0.T4ref.bwa_full_length.bam	246992
T5infectedecoli.20240202_1332_P2S-01618-B_PAS25444_31820489.rna004_130bps_sup@v3.0.1.T5ref.bwa_full_length.bam	169100
T5infectedecoli.20240202_1332_P2S-01618-B_PAS25444_31820489.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	168955
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_fast@v3.bwa_full_length.bam	209847
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_hac@v3.bwa_full_length.bam	217950
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	95043
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	135214
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	96170
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	180353
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	134236
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	198439
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	74112
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	78925
Trub1doxH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	140754
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	54646
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	53106
Trub1untrH295R004_20231207_1522_MN31004_FAX71838_4571d21c.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	69539
Trub1untrH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	79717
Trub1untrH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	104536
Trub1untrH295R004_20231207_1527_MN42516_FAX73799_8b069090.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	118621
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_fast@v3.bwa_full_length.bam	11390
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_hac@v3.bwa_full_length.bam	11260
WTyeast002_diffligratios_20231113_1421_P2S-00519-A_PAS43478_c33fd818.rna002_70bps_fast@v3.bwa_full_length.bam	13263
WTyeast002_diffligratios_20231113_1421_P2S-00519-A_PAS43478_c33fd818.rna002_70bps_hac@v3.bwa_full_length.bam	13200
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	52355
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	70647
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	59073
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	113674
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	60466
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v3.0.1_70plusnts.bwa_full_length.bam	60578
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	151583
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_fast@v3.bwa_full_length.bam	20105
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_hac@v3.bwa_full_length.bam	20549
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v3.0.1.bwa_full_length.bam	41820
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v5.0.0.bwa_full_length.bam	88064
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v3.0.1.bwa_full_length.bam	45769
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v5.0.0.bwa_full_length.bam	109595
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.bwa_full_length.bam	72050
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v5.0.0.bwa_full_length.bam	124043
