"","Sample","Date","Instrument","Flowcell","Chemistry","BCModel","Version","TotalReads","FL Reads","ReadsMapped","ErrorRate","AverageLength","AverageQuality","PercentAligned"
"26","Petityeast","20240105","P2S-00519-A","PAQ47538","rna004","sup","v5",330384,282801,308585,0.2493962,127,12.4,93.4019201898397
"27","Pus1yeast","20240105","P2S-00519-A","PAS92267","rna004","sup","v5",673738,566432,639269,0.2452076,126,12.7,94.8839162998079
"28","Pus2yeast","20240105","P2S-00519-B","PAS98920","rna004","sup","v5",424200,356873,388198,0.2579827,127,12.1,91.5129655822725
"29","Pus4yeast","20231208","MN31004","FAX30455","rna002","fast","v3",21338,11279,14180,0.260489,116,13,66.4542131408754
"30","Pus4yeast","20231208","MN31004","FAX30455","rna002","hac","v3",21323,12620,14457,0.2465608,119,20.9,67.8000281386297
"31","Pus4yeast","20231208","MN42516","FAX71838","rna004","fast","v3",302182,292164,167113,0.3089788,164,11.5,55.3021027063161
"32","Pus4yeast","20231208","MN42516","FAX71838","rna004","hac","v3",302172,280537,167592,0.28511,163,9.7,55.462451848616
"33","Pus4yeast","20231208","MN42516","FAX71838","rna004","sup","v3",302158,292443,228689,0.2908445,172,6.9,75.6852375247387
"34","T4infectedecoli","20240202","P2S-01618-A","PAU05281","rna004","sup","v3",323948,288059,282554,0.2454154,129,7.9,87.2220232876881
"35","Tetrahymena","20231207","MN35252","FAX30455","rna002","fast","v3",577199,189545,277768,0.2952275,108,12.9,48.123437497293
"36","Tetrahymena","20231207","MN35252","FAX30455","rna002","hac","v3",577291,219798,290773,0.2805988,112,20.4,50.3685316417543
"37","Tetrahymena","20231208","MN42516","FAX71838","rna004","fast","v3",304599,291791,173498,0.3232459,182,11.3,56.9594778709057
"38","Tetrahymena","20231208","MN42516","FAX71838","rna004","fast","v5",304964,88158,252718,0.2972288,106,9.4,82.86814181346
"39","Tetrahymena","20231208","MN42516","FAX71838","rna004","hac","v3",304508,280368,171554,0.3031954,168,9.6,56.338092923667
"40","Tetrahymena","20231208","MN42516","FAX71838","rna004","hac","v5",305384,155032,268113,0.2781255,115,9.9,87.7953658344903
"41","Tetrahymena","20231208","MN42516","FAX71838","rna004","sup","v3",304467,291325,224048,0.3121184,182,6.5,73.5869568787422
"42","Tetrahymena","20231208","MN42516","FAX71838","rna004","sup","v5",303643,184760,273907,0.2675516,116,12.4,90.2069206271839
"43","WTyeast","20231111","P2S-00519-A","PAS43478","rna002","fast","v3",19431,14918,13578,0.266529,178,11.3,69.8780299521383
"44","WTyeast","20231111","P2S-00519-A","PAS43478","rna002","hac","v3",19396,14788,13607,0.2736137,173,15.4,70.1536399257579
"45","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","fast","v3",204729,173224,101207,0.2907108,175,11.3,49.4346184468248
"46","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","fast","v5",205014,58134,181928,0.2599964,99,10.3,88.7393056083975
"47","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","hac","v3",204613,159271,149546,0.272843,146,8.4,73.0872427460621
"48","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","hac","v5",205238,122373,190588,0.2512078,113,10.3,92.8619456435943
"49","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","sup","v3",204506,175272,162270,0.2907783,165,5.9,79.347305213539
"50","WTyeast","20231111","P2S-00519-B","PAQ47538","rna004","sup","v5",205343,163572,196491,0.2405788,126,13.7,95.6891639841631
"51","Zebrafish","20231207","P2S-00519-A","PAS44221","rna002","fast","v3",141887,31749,32335,0.2664709,156,10.4,22.7892618774095
"52","Zebrafish","20231207","P2S-00519-A","PAS44221","rna002","hac","v3",141252,30992,33215,0.2624981,173,13.8,23.5147112961232
"53","Zebrafish","20231208","MN31004","FAX73799","rna004","fast","v3",204351,196471,73502,0.3203844,194,10.4,35.9685051700261
"54","Zebrafish","20231208","MN31004","FAX73799","rna004","fast","v5",203956,60704,161073,0.2922654,102,9.6,78.9743866324109
"55","Zebrafish","20231208","MN31004","FAX73799","rna004","hac","v3",204287,182619,81833,0.2964483,174,8.6,40.0578597757077
"56","Zebrafish","20231208","MN31004","FAX73799","rna004","hac","v5",204374,111718,171608,0.2660986,113,9.7,83.9676279761614
"57","Zebrafish","20231208","MN31004","FAX73799","rna004","sup","v3",204253,195980,131773,0.3095223,186,5.9,64.5145970928212
"58","Zebrafish","20231208","MN31004","FAX73799","rna004","sup","v5",203978,136539,178830,0.2545598,119,12.2,87.6712194452343
