Filename	Total Reads	FL Reads
Grandeyeast004_20240105_1222_P2S-00519-B_PAS98845_231d7d7e.rna004_130bps_sup@v5.0.0.fastq	359591	303748
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_fast@v3.fastq	185839	56075
HumanFibroblast002_20231207_1455_P2S-00519-B_PAS29437_b7f6c4bd.rna002_70bps_hac@v3.fastq	185620	55296
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v3.0.1.fastq	148136	140124
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_fast@v5.0.0.fastq	147930	35118
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v3.0.1.fastq	148123	131465
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_hac@v5.0.0.fastq	148163	73164
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v3.0.1.fastq	148103	140257
HumanFibroblast004_20231208_1351_MN42516_FAX71838_b8f7b990.rna004_130bps_sup@v5.0.0.fastq	147576	94242
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_fast@v3.0.1.fastq	44796	33016
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_fast@v5.0.0.fastq	330022	93346
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_hac@v3.0.1.fastq	44792	27765
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_hac@v5.0.0.fastq	330272	208909
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v3.0.1.fastq	44789	34004
Petityeast004_20240105_1222_P2S-00519-A_PAQ47538_49891fce.rna004_130bps_sup@v5.0.0.fastq	330384	282801
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_fast@v3.0.1.fastq	657363	576955
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_fast@v5.0.0.fastq	673098	174231
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_hac@v3.0.1.fastq	657195	548502
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_hac@v5.0.0.fastq	673548	403579
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v3.0.1.fastq	657228	581720
Pus1yeast004_20240105_1330_P2S-00519-A_PAS92267_56de71b8.rna004_130bps_sup@v5.0.0.fastq	673738	566432
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_fast@v3.0.1.fastq	406547	360054
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_fast@v5.0.0.fastq	423510	107941
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_hac@v3.0.1.fastq	406468	341409
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_hac@v5.0.0.fastq	424110	240229
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_sup@v3.0.1.fastq	406472	357872
Pus2yeast004_20240105_1330_P2S-00519-B_PAS98920_19ba906c.rna004_130bps_sup@v5.0.0.fastq	424200	356873
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_fast@v3.fastq	21338	11279
Pus4yeast002_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_70bps_hac@v3.fastq	21323	12620
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_fast@v3.0.1.fastq	302182	292164
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_hac@v3.0.1.fastq	302172	280537
Pus4yeast004_20231208_1152_MN42516_FAX71838_e2d70aac.rna004_130bps_sup@v3.0.1.fastq	302158	292443
Pus4yeast004_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_130bps_fast@v5.0.0.fastq	302048	101041
Pus4yeast004_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_130bps_hac@v5.0.0.fastq	302235	166071
Pus4yeast004_20231208_1601_MN31004_FAX30455_c72fd68f.rna002_130bps_sup@v5.0.0.fastq	301634	207965
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_fast@v5.0.0.fastq	323776	126728
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_hac@v5.0.0.fastq	324149	236006
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v3.0.1.fastq	323948	288059
T4infectedecoli_20240202_1332_P2S-01618-A_PAU05281_fd3805fc.rna004_130bps_sup@v5.0.0.fastq	324286	296403
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_fast@v3.fastq	577199	189545
Tetrahymena002_20231207_1743_MN35252_FAX30455_c9f80979.rna002_70bps_hac@v3.fastq	577291	219798
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v3.0.1.fastq	304599	291791
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_fast@v5.0.0.fastq	304964	88158
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v3.0.1.fastq	304508	280368
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_hac@v5.0.0.fastq	305384	155032
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v3.0.1.fastq	304467	291325
Tetrahymena004_20231208_0920_MN42516_FAX71838_a244513d.rna004_130bps_sup@v5.0.0.fastq	303643	184760
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_fast@v3.fastq	19431	14918
WTyeast002_20231111_1103_P2S-00519-A_PAS43478_1fa49e43.rna002_70bps_hac@v3.fastq	19396	14788
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v3.0.1.fastq	204729	173224
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_fast@v5.0.0.fastq	205014	58134
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v3.0.1.fastq	204613	159271
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_hac@v5.0.0.fastq	205238	122373
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v3.0.1.fastq	204506	175272
WTyeast004_20231111_1104_P2S-00519-B_PAQ47538_fa3726ec.rna004_130bps_sup@v5.0.0.fastq	205343	163572
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_fast@v3.fastq	141887	31749
Zebrafish002_20231207_1528_P2S-00519-A_PAS44221_7e583c4c.rna002_70bps_hac@v3.fastq	141252	30992
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v3.0.1.fastq	204351	196471
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_fast@v5.0.0.fastq	203956	60704
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v3.0.1.fastq	204287	182619
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_hac@v5.0.0.fastq	204374	111718
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v3.0.1.fastq	204253	195980
Zebrafish004_20231208_0919_MN31004_FAX73799_f3dea9f8.rna004_130bps_sup@v5.0.0.fastq	203978	136539
